,date,n_sick,calls,temp,drivers_predicted
0,2016-04-01,73,8154.0,8.3,1631.1856140177395
1,2016-04-02,64,8526.0,10.2,1705.5852416550767
2,2016-04-03,68,8088.0,13.5,1617.9856800820828
3,2016-04-04,71,7044.0,15.8,1409.1867250998778
4,2016-04-05,63,7236.0,15.7,1447.586532912697
5,2016-04-06,70,6492.0,12.0,1298.7872776380223
6,2016-04-07,64,6204.0,10.0,1241.1875659187933
7,2016-04-08,62,7614.0,8.5,1523.186154544185
8,2016-04-09,51,5706.0,8.7,1141.5880644042932
9,2016-04-10,54,6606.0,8.3,1321.5871635268838
10,2016-04-11,50,6822.0,9.5,1364.7869473163055
11,2016-04-12,49,6060.0,10.8,1212.3877100591787
12,2016-04-13,53,5964.0,12.9,1193.187806152769
13,2016-04-14,52,5928.0,8.8,1185.9878421878655
14,2016-04-15,63,7608.0,8.9,1521.9861605500346
15,2016-04-16,55,6768.0,10.7,1353.9870013689501
16,2016-04-17,51,7242.0,8.9,1448.7865269068477
17,2016-04-18,59,6768.0,8.2,1353.9870013689501
18,2016-04-19,57,8676.0,10.1,1735.585091508842
19,2016-04-20,53,6270.0,9.1,1254.38749985445
20,2016-04-21,63,7818.0,8.9,1563.9859503453056
21,2016-04-22,68,5712.0,8.7,1142.7880583984438
22,2016-04-23,62,5166.0,6.9,1033.588604930739
23,2016-04-24,71,4884.0,4.3,977.1888872056605
24,2016-04-25,72,5880.0,5.3,1176.3878902346607
25,2016-04-26,65,6576.0,5.4,1315.5871935561306
26,2016-04-27,62,7620.0,5.4,1524.3861485383356
27,2016-04-28,66,6870.0,5.6,1374.3868992695102
28,2016-04-29,64,7554.0,9.3,1511.186214602679
29,2016-04-30,65,5424.0,13.2,1085.1883466792149
30,2016-05-01,54,8400.0,13.5,1680.385367777914
31,2016-05-02,63,7782.0,13.6,1556.785986380402
32,2016-05-03,61,7716.0,12.7,1543.5860524447453
33,2016-05-04,58,8340.0,10.5,1668.385427836408
34,2016-05-05,57,8064.0,14.2,1613.1857041054805
35,2016-05-06,59,7404.0,17.8,1481.186364748914
36,2016-05-07,57,8868.0,19.4,1773.9848993216613
37,2016-05-08,61,6504.0,19.3,1301.1872656263236
38,2016-05-09,65,7788.0,19.9,1557.9859803745526
39,2016-05-10,68,6978.0,19.4,1395.9867911642211
40,2016-05-11,61,7512.0,20.0,1502.786256643625
41,2016-05-12,55,7434.0,19.2,1487.186334719667
42,2016-05-13,56,8370.0,16.6,1674.385397807161
43,2016-05-14,50,8136.0,10.1,1627.5856320352875
44,2016-05-15,57,7674.0,8.7,1535.1860944856912
45,2016-05-16,52,9048.0,9.7,1809.9847191461793
46,2016-05-17,53,8550.0,9.4,1710.3852176316793
47,2016-05-18,52,8184.0,14.7,1637.1855839884925
48,2016-05-19,51,8352.0,17.8,1670.7854158247094
49,2016-05-20,57,5790.0,17.7,1158.3879803224017
50,2016-05-21,56,8382.0,19.0,1676.7853857954624
51,2016-05-22,58,6516.0,22.5,1303.5872536146246
52,2016-05-23,57,7824.0,20.9,1565.1859443394562
53,2016-05-24,55,6312.0,15.9,1262.7874578135043
54,2016-05-25,49,8196.0,13.8,1639.5855719767937
55,2016-05-26,46,8124.0,14.0,1625.1856440469865
56,2016-05-27,50,6084.0,16.2,1217.1876860357813
