date,n_sick,calls,temp,drivers_predicted,month,year,n_sick_monthly,calls_monthly
2018-12-15,72,6102.0,0.1,1220.787668018233,12,2018,,
2018-12-16,83,5850.0,-0.2,1170.3879202639075,12,2018,,
2018-12-17,94,8532.0,1.3,1706.7852356492276,12,2018,,
2018-12-18,94,8238.0,4.1,1647.9855299358478,12,2018,,
2018-12-19,100,8982.0,2.2,1796.7847852105224,12,2018,,
2018-12-20,95,7620.0,4.2,1524.3861485383356,12,2018,,
2018-12-21,106,5844.0,6.9,1169.1879262697569,12,2018,,
2018-12-22,85,5904.0,6.4,1181.1878662112629,12,2018,,
2018-12-23,76,6684.0,5.9,1337.1870854508416,12,2018,,
2018-12-24,59,7392.0,1.9,1478.7863767606127,12,2018,,
2018-12-25,58,7008.0,4.8,1401.9867611349741,12,2018,,
2018-12-26,63,6744.0,5.7,1349.1870253923476,12,2018,,
2018-12-27,74,8316.0,5.2,1663.5854518598055,12,2018,,
2018-12-28,78,8652.0,6.1,1730.7851155322394,12,2018,,
2018-12-29,76,6006.0,5.9,1201.5877641118234,12,2018,,
2018-12-30,78,6120.0,6.2,1224.3876500006847,12,2018,,
2018-12-31,75,6318.0,5.3,1263.9874518076547,12,2018,,
2019-01-01,57,8382.0,6.5,1676.7853857954626,1,2019,74.12903225806451,7850.5161290322585
2019-01-02,82,9672.0,1.9,1934.784094537842,1,2019,,
2019-01-03,83,7404.0,-0.5,1481.1863647489138,1,2019,,
2019-01-04,83,9240.0,1.7,1848.3845269589983,1,2019,,
2019-01-05,73,7746.0,6.0,1549.5860224154983,1,2019,,
2019-01-06,75,7266.0,1.9,1453.58650288345,1,2019,,
2019-01-07,78,6798.0,3.3,1359.9869713397031,1,2019,,
2019-01-08,79,8952.0,4.9,1790.7848152397696,1,2019,,
2019-01-09,81,8934.0,2.1,1787.1848332573181,1,2019,,
2019-01-10,74,8454.0,1.0,1691.1853137252695,1,2019,,
2019-01-11,85,8544.0,2.4,1709.1852236375287,1,2019,,
2019-01-12,71,7824.0,5.0,1565.1859443394562,1,2019,,
2019-01-13,71,7002.0,6.3,1400.7867671408233,1,2019,,
2019-01-14,75,8118.0,2.4,1623.9856500528356,1,2019,,
2019-01-15,71,7152.0,3.9,1430.7866169945887,1,2019,,
