date,n_sick,calls,temp,drivers_predicted,month,year,n_sick_monthly,calls_monthly
2018-07-15,73,8742.0,19.2,1748.7850254444986,7,2018,,
2018-07-16,70,9960.0,22.1,1992.383806257071,7,2018,,
2018-07-17,62,9210.0,23.0,1842.3845569882453,7,2018,,
2018-07-18,65,9354.0,22.4,1871.1844128478601,7,2018,,
2018-07-19,75,9378.0,20.4,1875.9843888244625,7,2018,,
2018-07-20,72,7740.0,20.6,1548.3860284213479,7,2018,,
2018-07-21,65,8550.0,21.8,1710.3852176316793,7,2018,,
2018-07-22,62,6978.0,22.6,1395.9867911642211,7,2018,,
2018-07-23,69,8148.0,22.2,1629.9856200235888,7,2018,,
2018-07-24,69,9396.0,24.2,1879.5843708069144,7,2018,,
2018-07-25,69,8586.0,26.5,1717.585181596583,7,2018,,
2018-07-26,78,8322.0,26.1,1664.7854458539566,7,2018,,
2018-07-27,82,7872.0,25.9,1574.7858962926612,7,2018,,
2018-07-28,77,7110.0,25.3,1422.3866590355344,7,2018,,
2018-07-29,91,8376.0,23.4,1675.5853918013117,7,2018,,
2018-07-30,92,8442.0,26.9,1688.7853257369684,7,2018,,
2018-07-31,87,8394.0,29.0,1679.1853737837635,7,2018,,
2018-08-01,75,9114.0,27.0,1823.184653081836,8,2018,73.41935483870968,8820.387096774193
2018-08-02,79,9024.0,26.0,1805.1847431695771,8,2018,,
2018-08-03,77,9780.0,26.9,1956.383986432553,8,2018,,
2018-08-04,64,8946.0,27.6,1789.584821245619,8,2018,,
2018-08-05,61,9054.0,21.6,1811.1847131403301,8,2018,,
2018-08-06,68,8322.0,22.1,1664.7854458539566,8,2018,,
2018-08-07,69,9108.0,27.6,1821.9846590876853,8,2018,,
2018-08-08,74,8676.0,28.9,1735.585091508842,8,2018,,
2018-08-09,75,7926.0,26.5,1585.5858422400165,8,2018,,
2018-08-10,74,8406.0,20.5,1681.5853617720647,8,2018,,
2018-08-11,59,7692.0,19.2,1538.786076468143,8,2018,,
2018-08-12,63,8070.0,20.0,1614.3856980996306,8,2018,,
2018-08-13,64,8016.0,22.8,1603.5857521522753,8,2018,,
2018-08-14,58,10146.0,20.2,2029.58362007574,8,2018,,
2018-08-15,53,8304.0,19.8,1661.1854638715045,8,2018,,
