date,n_sick,calls,temp,drivers_predicted,month,year,n_sick_monthly,calls_monthly
2019-03-15,66,7944.0,7.6,1589.1858242224682,3,2019,,
2019-03-16,55,9906.0,6.8,1981.5838603097159,3,2019,,
2019-03-17,66,8616.0,8.4,1723.5851515673362,3,2019,,
2019-03-18,69,7608.0,4.9,1521.9861605500346,3,2019,,
2019-03-19,74,9768.0,4.8,1953.983998444252,3,2019,,
2019-03-20,75,10080.0,7.0,2016.3836861400832,3,2019,,
2019-03-21,77,9660.0,9.5,1932.3841065495408,3,2019,,
2019-03-22,71,8742.0,8.7,1748.7850254444986,3,2019,,
2019-03-23,68,7386.0,9.6,1477.586382766462,3,2019,,
2019-03-24,75,9294.0,6.5,1859.1844729063541,3,2019,,
2019-03-25,83,8724.0,4.6,1745.185043462047,3,2019,,
2019-03-26,78,10008.0,4.8,2001.983758210276,3,2019,,
2019-03-27,85,7446.0,7.3,1489.5863227079685,3,2019,,
2019-03-28,88,9996.0,8.8,1999.5837702219744,3,2019,,
2019-03-29,91,8076.0,9.9,1615.5856920937815,3,2019,,
2019-03-30,83,7356.0,11.2,1471.5864127957088,3,2019,,
2019-03-31,90,7134.0,8.1,1427.1866350121368,3,2019,,
2019-04-01,85,11850.0,5.7,2370.381914414511,4,2019,75.76666666666667,9477.4
2019-04-02,81,10920.0,9.3,2184.382845321168,4,2019,,
2019-04-03,79,11328.0,14.0,2265.9824369234093,4,2019,,
2019-04-04,75,10260.0,15.4,2052.383505964601,4,2019,,
2019-04-05,67,9444.0,11.3,1889.1843227601194,4,2019,,
2019-04-06,57,9900.0,14.8,1980.3838663155648,4,2019,,
2019-04-07,67,8034.0,14.3,1607.1857341347275,4,2019,,
2019-04-08,80,9786.0,11.4,1957.583980426704,4,2019,,
2019-04-09,70,10050.0,6.9,2010.3837161693302,4,2019,,
2019-04-10,68,10638.0,5.4,2127.9831275960887,4,2019,,
2019-04-11,68,9036.0,3.9,1807.5847311578784,4,2019,,
2019-04-12,71,8256.0,3.5,1651.5855119182995,4,2019,,
2019-04-13,65,9264.0,4.6,1853.184502935601,4,2019,,
2019-04-14,70,7188.0,6.0,1437.9865809594926,4,2019,,
2019-04-15,71,10746.0,7.9,2149.5830194908,4,2019,,
